chip_filename,lat,lon,salar,ssi_delta,gaia_prob,severidad
-23.5620_-68.3854.npy,-23.562034,-68.385373,salar_atacama,0.187,0.7283,alta
-23.5721_-68.3860.npy,-23.572062,-68.386017,salar_atacama,0.1846,0.1015,media
-23.5158_-68.3882.npy,-23.515829,-68.388182,salar_atacama,0.1867,0.1286,media
-23.5253_-68.3915.npy,-23.525323,-68.391468,salar_atacama,0.1574,0.8457,alta
-23.5186_-68.3939.npy,-23.518568,-68.393933,salar_atacama,0.1756,0.1979,media
-23.5544_-68.3935.npy,-23.554352,-68.393477,salar_atacama,0.2439,0.834,alta
-23.5543_-68.3958.npy,-23.554261,-68.395759,salar_atacama,0.2738,0.8635,alta
-23.5227_-68.3932.npy,-23.522657,-68.393185,salar_atacama,0.2527,0.8617,alta
-23.5193_-68.3971.npy,-23.519281,-68.397078,salar_atacama,0.17,0.1488,media
-23.5250_-68.3999.npy,-23.524958,-68.399867,salar_atacama,0.1828,0.6269,media
-23.5800_-68.4152.npy,-23.580004,-68.415203,salar_atacama,0.1829,0.0882,media
-23.5537_-68.4097.npy,-23.553713,-68.409726,salar_atacama,0.1949,0.5604,media
-23.5637_-68.4221.npy,-23.563736,-68.422104,salar_atacama,0.1976,0.1625,media
-23.5417_-68.4322.npy,-23.541663,-68.432182,salar_atacama,0.1391,0.5936,media
-23.5676_-68.4185.npy,-23.567571,-68.418544,salar_atacama,0.2111,0.1084,alta
-27.0549_-68.8197.npy,-27.054872,-68.819748,salar_maricunga,0.1915,0.3406,media
-27.0523_-68.8143.npy,-27.052338,-68.814332,salar_maricunga,0.2243,0.4468,alta
-27.0510_-68.8185.npy,-27.050976,-68.818546,salar_maricunga,0.2206,0.4969,alta
-27.0361_-68.8154.npy,-27.036127,-68.815351,salar_maricunga,0.1599,0.1203,media
-27.0395_-68.8206.npy,-27.039519,-68.820626,salar_maricunga,0.1688,0.2053,media
-27.0372_-68.8249.npy,-27.037198,-68.824944,salar_maricunga,0.1526,0.1376,media
-27.0309_-68.8280.npy,-27.030905,-68.828035,salar_maricunga,0.1847,0.1266,media
-27.0942_-68.8297.npy,-27.09424,-68.829678,salar_maricunga,0.1765,0.2468,media
-27.0327_-68.8298.npy,-27.03274,-68.829794,salar_maricunga,0.1581,0.1107,media
-27.0282_-68.8290.npy,-27.028183,-68.829002,salar_maricunga,0.1789,0.1313,media
-27.0387_-68.8324.npy,-27.038726,-68.832383,salar_maricunga,0.2127,0.1091,alta
-27.0443_-68.8322.npy,-27.044328,-68.832197,salar_maricunga,0.1836,0.1644,media
-27.0346_-68.8315.npy,-27.034649,-68.831476,salar_maricunga,0.1849,0.0901,media
-27.0931_-68.8349.npy,-27.093096,-68.834925,salar_maricunga,0.2003,0.1881,alta
-27.0398_-68.8357.npy,-27.039819,-68.835683,salar_maricunga,0.1873,0.1323,media
-26.9226_-68.8373.npy,-26.922565,-68.837328,salar_maricunga,0.1567,0.1433,media
-27.0318_-68.8331.npy,-27.031832,-68.833064,salar_maricunga,0.2185,0.0994,alta
-26.9267_-68.8372.npy,-26.92673,-68.837163,salar_maricunga,0.1538,0.1059,media
-26.9278_-68.8408.npy,-26.92779,-68.84081,salar_maricunga,0.1812,0.1459,media
-27.0412_-68.8383.npy,-27.041228,-68.838281,salar_maricunga,0.1582,0.1338,media
-26.9334_-68.8417.npy,-26.933365,-68.84172,salar_maricunga,0.1552,0.1356,media
-26.9297_-68.8425.npy,-26.929652,-68.842481,salar_maricunga,0.2142,0.1484,alta
-27.0432_-68.8659.npy,-27.043237,-68.86589,salar_maricunga,0.1624,0.0853,media
-26.9641_-68.8673.npy,-26.964054,-68.867294,salar_maricunga,0.231,0.0895,alta
-27.0527_-68.8681.npy,-27.052728,-68.868097,salar_maricunga,0.2032,0.1403,alta
-27.0928_-68.8692.npy,-27.092796,-68.869169,salar_maricunga,0.1611,0.1812,media
-27.0541_-68.8714.npy,-27.054143,-68.871392,salar_maricunga,0.179,0.1118,media
-27.0666_-68.8776.npy,-27.066585,-68.877598,salar_maricunga,0.1611,0.1325,media
-26.9568_-68.8723.npy,-26.956816,-68.872294,salar_maricunga,0.2087,0.1395,alta
-27.0936_-68.8748.npy,-27.093643,-68.874827,salar_maricunga,0.1746,0.1998,media
-26.9117_-68.8815.npy,-26.911739,-68.881458,salar_maricunga,0.186,0.277,media
-26.9902_-68.8809.npy,-26.990167,-68.880872,salar_maricunga,0.1704,0.1521,media
-27.0867_-68.8852.npy,-27.08672,-68.885176,salar_maricunga,0.1446,0.128,media
-27.0879_-68.8850.npy,-27.087864,-68.884972,salar_maricunga,0.1801,0.1504,media
-26.9912_-68.8877.npy,-26.991241,-68.887731,salar_maricunga,0.1741,0.1552,media
-27.0844_-68.8907.npy,-27.084384,-68.890663,salar_maricunga,0.1755,0.0847,media
-27.0131_-68.9006.npy,-27.013076,-68.900578,salar_maricunga,0.2266,0.1237,alta
-27.0824_-68.8940.npy,-27.082447,-68.893989,salar_maricunga,0.1547,0.0794,media
-27.0890_-68.8948.npy,-27.088993,-68.894832,salar_maricunga,0.1702,0.1329,media
-27.0874_-68.8985.npy,-27.087369,-68.898513,salar_maricunga,0.1696,0.0794,media
-27.0837_-68.9011.npy,-27.083653,-68.90106,salar_maricunga,0.1562,0.0781,media
-27.0761_-68.9003.npy,-27.07613,-68.900346,salar_maricunga,0.1648,0.0798,media
-27.0920_-68.9049.npy,-27.091957,-68.904887,salar_maricunga,0.1931,0.1303,media
-27.0721_-68.9017.npy,-27.072127,-68.901674,salar_maricunga,0.1471,0.0767,media
-27.0336_-68.9008.npy,-27.033574,-68.900828,salar_maricunga,0.1909,0.0976,media
-27.0768_-68.9029.npy,-27.076829,-68.902886,salar_maricunga,0.1374,0.0794,media
-27.0309_-68.9028.npy,-27.030883,-68.902794,salar_maricunga,0.2001,0.1506,alta
-27.0869_-68.9040.npy,-27.086875,-68.904025,salar_maricunga,0.1382,0.0763,media
-27.0840_-68.9072.npy,-27.084044,-68.907182,salar_maricunga,0.1681,0.082,media
-27.0902_-68.9062.npy,-27.09021,-68.906212,salar_maricunga,0.1729,0.0928,media
-27.0308_-68.9050.npy,-27.030835,-68.904988,salar_maricunga,0.2016,0.1647,alta
-27.0676_-68.9071.npy,-27.067646,-68.907108,salar_maricunga,0.1703,0.074,media
