ID,NOMBRE_INSTALACION,REGION,COMUNA,ESTADO_INSTALACION,LATITUD,LONGITUD,DIST_RIO_M,DIST_ZONA_HAB_50P_KM2_M,RIO_1KM,RIO_5KM,HAB_1KM,HAB_5KM
0541-4N,TRANQUE DE RELAVE 3,Coquimbo,Illapel,ABANDONADO,-31.633413948528,-71.1618869351648,221.4,458.9,1,1,1,1
0542-4N,SAN JORGE 1-2-3,Coquimbo,Illapel,ABANDONADO,-31.633681109891,-71.1625849668113,191.9,466.4,1,1,1,1
0543-4N,PUENTE NEGRO,Coquimbo,Illapel,ABANDONADO,-31.6933130133288,-71.2678283710498,202.0,3113.1,1,1,0,1
0544-4N,EL CANELILLO,Coquimbo,Illapel,INACTIVO,-31.4130094199681,-71.0842187657463,872.6,19374.5,1,1,0,0
0545-4N,TAMBO DE ORO,Coquimbo,Punitaqui,ACTIVO,-30.8539349455484,-71.2236582524426,256.0,166.7,1,1,1,1
0546-4N,EMBALSE RELAVE PLANTA LOS MANTOS,Coquimbo,Illapel,EN CONSTRUCCION,-31.7228543884503,-71.1275145067199,829.9,544.0,1,1,1,1
0547-4N,EL ROMERO 1,Coquimbo,Illapel,INACTIVO,-31.4165144377272,-71.0587521597522,356.4,18994.9,1,1,0,0
0548-4N,EL ROMERO 2,Coquimbo,Illapel,ACTIVO,-31.4176177587781,-71.059455945668,307.7,18868.8,1,1,0,0
0549-4N,CANELA,Coquimbo,Canela,ACTIVO,-31.4068450378764,-71.4671414874741,141.5,407.9,1,1,1,1
0550-4N,TRANQUE DE RELAVE,Coquimbo,Punitaqui,INACTIVO,-30.8639538410874,-71.2449478200405,283.7,234.1,1,1,1,1
0551-4N,RELAVES BELLAVISTA,Coquimbo,Andacollo,ACTIVO,-30.2505577057294,-71.0819315097326,735.8,468.3,1,1,1,1
0552-4N,BELLAVISTA 1,Coquimbo,Andacollo,ABANDONADO,-30.2535227345557,-71.075617821605,1342.9,476.1,0,1,1,1
0553-4N,BELLAVISTA 2,Coquimbo,Andacollo,ABANDONADO,-30.2537133721196,-71.075781382062,1327.2,456.0,0,1,1,1
0554-4N,BELLAVISTA 3,Coquimbo,Andacollo,ABANDONADO,-30.2539303071092,-71.0759874146458,1307.4,432.0,0,1,1,1
0555-4N,BELLAVISTA 4,Coquimbo,Andacollo,ABANDONADO,-30.2532941907143,-71.0760459767533,1301.7,443.8,0,1,1,1
0556-4N,BELLAVISTA 5,Coquimbo,Andacollo,ABANDONADO,-30.2533747257765,-71.0766002004139,1248.4,390.5,0,1,1,1
0557-4N,SEGURA 1-2,Coquimbo,Combarbalá,ABANDONADO,-30.8986956754466,-71.1710279423549,1141.1,6279.8,0,1,0,0
0558-4N,TRANQUE DE RELAVE,Coquimbo,La Higuera,ABANDONADO,-29.3650951147543,-71.1144125479517,279.0,7931.9,1,1,0,0
0559-4N,ENRIQUETA,Coquimbo,La Higuera,ABANDONADO,-29.3632659638138,-71.1159308631886,301.7,7995.4,1,1,0,0
