ProcesoSancionId;Expediente;ProcesoSancionTipoNombre;ProcesoSancionEstado;FechaInicio;FechaTermino;ConfirmaPdC;MultaTotalUTA;LinkSNIFA;UnidadFiscalizableId;Nombre;RegionNombre;ComunaNombre;Latitud;Longitud;CategoriaEconomicaNombre;SubCategoriaEconomicaNombre;LinkSNIFA_UF;FechaActualizacion
1260;D-042-2015;Denuncia;Terminado - Sanción;25-08-2015;17-05-2016;No;4.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1260                          ;10580;RESTAURANT AJI SECO II;Región Metropolitana;La Florida;-33.524549;-70.597327;Equipamiento;Restorán / Servicio de comidas;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10580                         ;20-05-26
1261;D-043-2015;Denuncia;Terminado - PDC Satisfactorio;26-08-2015;18-04-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1261                          ;11311;FABRICA COUSIÑO LTDA - QUINTA NORMAL;Región Metropolitana;Quinta Normal;-33.440209;-70.704842;Instalación fabril;Otras;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11311                         ;20-05-26
1262;D-044-2015;Denuncia;Terminado - PDC Satisfactorio;01-09-2015;03-02-2023;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1262                          ;11226;INMOBILIARIA COSTA ESMERALDA;Región de Valparaíso;Puchuncaví;-32.6712412705406;-71.4415748342173;Vivienda e Inmobiliarios;Edificio Habitacional;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11226                         ;20-05-26
1263;D-045-2015;Denuncia;Terminado - Sanción;01-09-2015;19-04-2016;No;1.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1263                          ;11603;PUB DISCOTHEQUE VERDE AMARELA;Región del Maule;San Javier;-35.596066;-71.728374;Equipamiento;Discoteca / pub;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11603                         ;20-05-26
1264;D-046-2015;Denuncia;Terminado - Sanción;01-09-2015;01-06-2016;No;5.8;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1264                          ;12084;HOSTERIA CHAÑARAL;Región de Atacama;Chañaral;-26.347977;-70.62462;Equipamiento;Establecimiento / Infraestructura para turismo;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/12084                         ;20-05-26
1265;D-048-2015;Denuncia;Terminado - Sanción;10-09-2015;07-10-2019;No;488.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1265                          ;11263;CANTERAS LONCO;Región del Biobío;Chiguayante;-36.867819;-73.031126;Minería;Minera no metálica;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11263                         ;20-05-26
1266;D-047-2015;Denuncia;Programa de Cumplimiento en ejecución;11-09-2015;;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1266                          ;2537;MATADERO MAGALLANES;Región de Magallanes y la Antártica Chilena;Punta Arenas;-53.1022;-70.888;Agroindustrias;Matadero / frigorífico;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2537                          ;20-05-26
1267;D-049-2015;Denuncia;Terminado - Sanción;14-09-2015;30-12-2016;No;20.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1267                          ;13347;EMBALSERAFAEL PRIETO MORENO;Región Metropolitana;Alhué;-34.0428;-71.0475;Infraestructura Hidráulica;Embalse / presa / tranque;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13347                         ;20-05-26
1268;D-050-2015;Denuncia;Terminado - PDC Satisfactorio;14-09-2015;23-12-2016;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1268                          ;11619;PANADERIA LAS ENCINAS;Región de la Araucanía;Temuco;-38.745557;-72.631322;Equipamiento;Panadería;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11619                         ;20-05-26
1269;D-051-2015;Denuncia;Terminado - Sanción;14-09-2015;13-07-2016;No;1.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1269                          ;11570;DISCOTHEQUE EX_BOULEVARD;Región del Maule;Talca;-35.406972;-71.642885;Equipamiento;Discoteca / pub;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11570                         ;20-05-26
1270;A-006-2015;Autodenuncia;Terminado - PDC Satisfactorio;23-09-2015;25-06-2018;Sí;189.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1270                          ;13321;PROYECTOS OGMSOCIEDAD NUNHEMS;Región del Libertador General Bernardo O'Higgins;Graneros;-34.0632130780969;-70.6963415443897;Agroindustrias;Planta procesadora de productos agrícolas;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13321                         ;20-05-26
1271;F-023-2015;Fiscalización;Terminado - PDC Satisfactorio;24-09-2015;09-05-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1271                          ;2096;INVERTEC FOOD - PLANTA RENGO;Región del Libertador General Bernardo O'Higgins;Rengo;-34.421787714362;-70.871268589833;Agroindustrias;Planta procesadora de productos agrícolas;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2096                          ;20-05-26
1272;D-052-2015;Denuncia;Terminado - Sanción;25-09-2015;30-11-2016;No;14.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1272                          ;11600;INCINERADOR INGEMEDICAL;Región de la Araucanía;Gorbea;-39.2628718139725;-72.5609687301636;Transportes y almacenajes;Transporte de sustancias peligrosas;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11600                         ;20-05-26
1273;F-025-2015;Fiscalización;Terminado - PDC Satisfactorio;29-09-2015;21-12-2020;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1273                          ;2814;PROCESAMIENTO DE ARIDOS MINERA ROSARIO - SAN BERNARDO;Región Metropolitana;San Bernardo;-33.7072;-70.7736;Minería;Planta de procesamiento no metálicos;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2814                          ;20-05-26
1274;D-053-2015;Denuncia;Terminado - Sanción;29-09-2015;01-12-2017;No;28.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1274                          ;1606;PLAN REGULADOR COMUNAL DE VALPARAISO;Región de Valparaíso;Valparaíso;-33.0848;-71.5944;Otras categorías;Instrumentos de Planificación Territorial;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1606                          ;20-05-26
